Start Date,,Biomass Sample,Ins - Media,,,,,,,,,,,,,,,,Ins - Substrate Gases,H? loading,,CO? loading,,,,,,,,,Outs - Passive Waste Effluent,,,,,,,,,Outs - Gas,CH?,H?,CO?,,,,,,,CH? production,CH? production,,,,,,,H?,,,,CO?,,,,,TSS/VSS,,,,,0.795857751,Operational Info (Loxone Sensor Readings),,,,,,,,,,
5/14/2024 12:42,Days of Operation,Biomass Sample ID,Media description,Media changes,Media Influent Flow Rate (mL/min) based on scales linear projection,"pH adjustment delivery rate (mL/min) - primarily 1 M HCl, sometimes 1 M NaOH",Approximate Cl- (mg/L),Approximate Na+,Approximate K+,Media Acetate (mol/L),Media Propionate (mol/L),Media Butyrate (mol/L),Media Total VFA (mg COD/L),Media Total COD (mg/L) Hach,Media Ammonia (mol/L),Media Dissolved Inorganic Carbon (mol C/L),Media Dissolved Organic Carbon (mol C/L),Approximate Total Influent C (mol/min) based on Media recipe,H2 delivery rate setpoint (mL/min),H2 loading rate (m3h2/m2),CO2 delivery rate setpoint (mL/min),CO2 loading rate (m3co2/m2),total gas loading rate (NL/m2),H2 delivery rate (mol/min),H2 delivery rate (e-eq/min),H2 delivery (g COD/min),CO2 delivery rate (mol/min),H2:CO2 ratio,Measured Total Influent C (mol/min),Approximate Total Influent C (mol/min) based on Media recipe + gas,Effluent waste flow rate (mL/min) - measured based on HRT after Day 38.1,Waste Effluent Acetate (mol/L),Waste Effluent Propionate (mol/L),Waste Effluent Butyrate (mol/L),Waste Effluent Total VFA (mg COD/L),Waste Effluent Total COD (mg/L) Hach,Waste Effluent Ammonia (mol/L),Waste Effluent Dissolved Inorganic Carbon (mol C/L),Waste Effluent Dissolved Organic Carbon (mol C/L),Gas Flow Out (mL/min at STP),Gas Composition (% CH4),Gas Composition (% H2),Gas Composition (% CO2),CH4 Production (mL/min),CH4 Production (mol/min),H2 breakthrough (mL/min),H2 breakthrough (mol/min),CO2 breakthrough (mL/min),CO2 breakthrough (mol/min),Specific CH4 production Rate (m3/m3d) .155,Specific CH4 production Rate (NL/m2d),Waste Effluent Dissolved Inorganic Carbon (mol/min) based on sensor,Effluent C as measured (mol/min),Effluent C as biomass (mol/min),Total Effluent C (mol/min) based on MT sensors,H2 Conversion to CH4 Efficiency (%) based on CH4,H2 Conversion to CH4 Efficiency (%) based on H2 (mL/min) (qh2 in -qh2out)/qh2in,H2 conversion to CH4 efficiency (30-day rolling average),Accounted H2 (%),Unaccounted H2 (%),C gas only Conversion Efficiency to CH4 (%),CO2 conversion to CH4 efficiency (30-day rolling average),C Conversion to CH4 Efficiency (%),Accounted C (%) based on MT sensors,Unaccounted C (%) based on MT sensors,Projected Cell Yield (g/min),R-TSS,W-TSS,R-VSS,W-VSS,SRT,HRT,pH,"CO2 (mg/L, aqueous dissolved CO2)",ORP (mV),Temp ©,[H],[CO2aq],pKa1,pKa2,[HCO3-],[CO3-2],TIC
,163.6,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.306,0.941474,0.018381333,0.040145,0.287812179,1.28E-05,0.01,2.51E-07,0.01,5.48E-07,2.37,2.85630,5.31E-07,#VALUE!,,1.39E-05,95.94%,99.53%,101.79%,96.41%,3.59%,95.94%,89.13%,91.50%,99%,1%,1.10E-03,,,,,4.775199751,2.798349941,7.001,41.02,-500.961,36.684,9.98E-08,9.32E-04,6.34,10.27,4.28E-03,2.28E-06,5.22E-03
,163.7,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.306,0.941474,0.018381333,0.040145,0.287812179,1.28E-05,0.01,2.51E-07,0.01,5.48E-07,2.37,2.85630,5.39E-07,#VALUE!,,1.39E-05,95.94%,99.53%,101.81%,96.41%,3.59%,95.94%,89.16%,91.50%,99%,1%,1.10E-03,,,,,4.775199751,2.798349941,7.009,41.02,-501.01,36.684,9.79E-08,9.32E-04,6.34,10.27,4.36E-03,2.37E-06,5.30E-03
,163.8,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.306,0.941474,0.018381333,0.040145,0.287812179,1.28E-05,0.01,2.51E-07,0.01,5.48E-07,2.37,2.85630,5.45E-07,#VALUE!,,1.39E-05,95.94%,99.53%,101.84%,96.41%,3.59%,95.94%,89.18%,91.50%,99%,1%,1.10E-03,,,,,4.775199751,2.798349941,7.017,41.02,-501.057,36.225,9.62E-08,9.32E-04,6.34,10.28,4.42E-03,2.42E-06,5.36E-03
,163.9,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.306,0.941474,0.018381333,0.040145,0.287812179,1.28E-05,0.01,2.51E-07,0.01,5.48E-07,2.37,2.85630,5.54E-07,#VALUE!,,1.40E-05,95.94%,99.53%,101.86%,96.41%,3.59%,95.94%,89.20%,91.50%,99%,1%,1.10E-03,,,,,4.775199751,2.798349941,7.025,41.02,-501.057,36.422,9.44E-08,9.32E-04,6.34,10.28,4.51E-03,2.53E-06,5.45E-03
,164,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.85630,5.53E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.86%,90.35%,9.65%,90.03%,89.21%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.025,41.02,-501.069,36.225,9.44E-08,9.32E-04,6.34,10.28,4.50E-03,2.51E-06,5.44E-03
,164.1,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.41E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.87%,90.35%,9.65%,90.03%,89.21%,85.87%,92%,8%,1.10E-03,,,,,4.775199751,2.798349941,7.01,41.02,-501.078,36.816,9.77E-08,9.32E-04,6.34,10.27,4.38E-03,2.39E-06,5.31E-03
,164.2,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.47E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.87%,90.35%,9.65%,90.03%,89.21%,85.87%,92%,8%,1.10E-03,,,,,4.775199751,2.798349941,7.018,41.02,-502.029,36.422,9.59E-08,9.32E-04,6.34,10.28,4.44E-03,2.45E-06,5.38E-03
,164.3,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.48E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.87%,90.35%,9.65%,90.03%,89.22%,85.87%,92%,8%,1.10E-03,,,,,4.775199751,2.798349941,7.017,41.02,-502.053,36.75,9.62E-08,9.32E-04,6.34,10.27,4.45E-03,2.46E-06,5.38E-03
,164.4,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.56E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.88%,90.35%,9.65%,90.03%,89.22%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.026,41.02,-502.053,36.488,9.42E-08,9.32E-04,6.34,10.28,4.53E-03,2.55E-06,5.46E-03
,164.5,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.65E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.88%,90.35%,9.65%,90.03%,89.23%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.034,41.02,-503.003,36.619,9.25E-08,9.32E-04,6.34,10.27,4.62E-03,2.65E-06,5.55E-03
,164.6,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.66E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.88%,90.35%,9.65%,90.03%,89.23%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.034,41.02,-503,36.881,9.25E-08,9.32E-04,6.34,10.27,4.63E-03,2.67E-06,5.57E-03
,164.7,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.66E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.89%,90.35%,9.65%,90.03%,89.23%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.034,41.02,-502.068,36.881,9.25E-08,9.32E-04,6.34,10.27,4.63E-03,2.67E-06,5.57E-03
,164.8,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.54E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.89%,90.35%,9.65%,90.03%,89.24%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.026,41.02,-501.124,36.159,9.42E-08,9.32E-04,6.34,10.28,4.51E-03,2.52E-06,5.45E-03
,164.9,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.57E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.89%,90.35%,9.65%,90.03%,89.24%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.026,41.02,-501.124,36.816,9.42E-08,9.32E-04,6.34,10.27,4.54E-03,2.57E-06,5.48E-03
,165,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.52E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.90%,90.35%,9.65%,90.03%,89.24%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.026,41.02,-501.148,35.7,9.42E-08,9.32E-04,6.34,10.28,4.49E-03,2.49E-06,5.42E-03
,165.1,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.60E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.90%,90.35%,9.65%,90.03%,89.25%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.034,41.02,-501.222,35.7,9.25E-08,9.32E-04,6.34,10.28,4.57E-03,2.58E-06,5.51E-03
,165.2,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.52E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.89%,90.35%,9.65%,90.03%,89.24%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.026,41.02,-500.269,35.7,9.42E-08,9.32E-04,6.34,10.28,4.49E-03,2.49E-06,5.42E-03
,165.3,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.43E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.89%,90.35%,9.65%,90.03%,89.23%,85.87%,92%,8%,1.10E-03,,,,,4.775199751,2.798349941,7.017,41.02,-500.277,35.897,9.62E-08,9.32E-04,6.34,10.28,4.41E-03,2.40E-06,5.34E-03
,165.4,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.53E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.88%,90.35%,9.65%,90.03%,89.22%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.025,41.02,-500.277,36.094,9.44E-08,9.32E-04,6.34,10.28,4.50E-03,2.50E-06,5.43E-03
,165.5,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.53E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.87%,90.35%,9.65%,90.03%,89.21%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.025,41.02,-500.277,36.225,9.44E-08,9.32E-04,6.34,10.28,4.50E-03,2.51E-06,5.44E-03
,165.6,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.66E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.86%,90.35%,9.65%,90.03%,89.20%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.033,41.02,-501.219,37.078,9.27E-08,9.32E-04,6.34,10.27,4.63E-03,2.67E-06,5.56E-03
,165.7,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.57E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.85%,90.35%,9.65%,90.03%,89.20%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.026,41.02,-500.265,36.684,9.42E-08,9.32E-04,6.34,10.27,4.54E-03,2.56E-06,5.47E-03
,165.8,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.62E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.84%,90.35%,9.65%,90.03%,89.19%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.033,41.02,-499.324,36.356,9.27E-08,9.32E-04,6.34,10.28,4.59E-03,2.62E-06,5.53E-03
,165.9,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.51E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.83%,90.35%,9.65%,90.03%,89.18%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.025,41.02,-500.269,35.831,9.44E-08,9.32E-04,6.34,10.28,4.48E-03,2.49E-06,5.42E-03
,166,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.45E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.83%,90.35%,9.65%,90.03%,89.17%,85.87%,92%,8%,1.10E-03,,,,,4.775199751,2.798349941,7.017,41.02,-499.338,36.159,9.62E-08,9.32E-04,6.34,10.28,4.42E-03,2.42E-06,5.35E-03
,166.1,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.56E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.82%,90.35%,9.65%,90.03%,89.16%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.025,41.02,-500.31,36.684,9.44E-08,9.32E-04,6.34,10.27,4.53E-03,2.55E-06,5.46E-03
,166.2,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.64E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.81%,90.35%,9.65%,90.03%,89.15%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.033,41.02,-500.325,36.619,9.27E-08,9.32E-04,6.34,10.27,4.61E-03,2.64E-06,5.54E-03
,166.3,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.72E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.80%,90.35%,9.65%,90.03%,89.14%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.042,41.02,-500.147,36.356,9.08E-08,9.32E-04,6.34,10.28,4.69E-03,2.73E-06,5.62E-03
,166.4,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.56E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.79%,90.35%,9.65%,90.03%,89.14%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.026,41.02,-499.26,36.553,9.42E-08,9.32E-04,6.34,10.28,4.53E-03,2.55E-06,5.46E-03
,166.5,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,2.46E-03,1.01E-05,1.00E-10,156.2966171,614,0,,2.17E-02,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.47E-05,1.40E-05,0.102,1.11E-04,1.11E-04,,15,522,1.75E-02,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.66E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.78%,90.35%,9.65%,90.03%,89.13%,85.87%,93%,7%,1.10E-03,,,,,4.775199751,2.798349941,7.034,41.02,-499.317,36.75,9.25E-08,9.32E-04,6.34,10.27,4.62E-03,2.66E-06,5.56E-03
,166.6,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.48E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.77%,90.35%,9.65%,90.03%,89.12%,85.87%,92%,8%,1.10E-03,,,,,4.775199751,2.798349941,7.017,41.02,-499.317,36.881,9.62E-08,9.32E-04,6.34,10.27,4.45E-03,2.47E-06,5.39E-03
,166.7,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.43E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.77%,90.35%,9.65%,90.03%,89.11%,85.87%,92%,8%,1.10E-03,,,,,4.775199751,2.798349941,7.017,41.02,-499.315,35.831,9.62E-08,9.32E-04,6.34,10.28,4.40E-03,2.40E-06,5.34E-03
,166.8,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,0.059221618,0.043,15451.315,323.000,221.000,,,,,,0,,,6.49E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.40E-05,0.102,,,,,,,,,0.282,0.956464333,0.013388333,0.030147,0.27010034,1.21E-05,0.00,1.69E-07,0.01,3.80E-07,2.22,2.68053,5.46E-07,#VALUE!,,1.30E-05,90.03%,99.68%,101.76%,90.35%,9.65%,90.03%,89.10%,85.87%,92%,8%,1.10E-03,,,,,4.775199751,2.798349941,7.017,41.02,-499.315,36.356,9.62E-08,9.32E-04,6.34,10.28,4.43E-03,2.43E-06,5.36E-03
